Index, Delay
0, 11537
1, 11099
2, 10839
3, 10534
4, 10386
5, 9985
6, 10097
7, 9783
8, 9661
9, 9311
10, 8972
11, 8947
12, 8644
13, 8328
14, 8028
15, 7887
16, 7488
17, 7010
18, 6672
19, 6462
20, 6083
21, 5722
22, 5296
23, 4996
24, 4588
25, 4280
26, 3810
27, 3411
28, 2991
29, 2697
30, 2377
31, 2150
32, 1917
33, 1623
34, 1407
35, 1279
36, 1087
37, 961
38, 807
39, 733
40, 602
41, 512
42, 417
43, 346
44, 311
45, 278
46, 222
47, 182
48, 149
49, 116
50, 89
51, 97
52, 60
53, 63
54, 52
55, 42
56, 31
57, 31
58, 26
59, 23
60, 21
61, 14
62, 15
63, 4
64, 5
65, 6
66, 5
67, 0
68, 2
69, 1
70, 2
